date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:04	1568/1568	---M--	200	added ('OK')	text/html	date:Sun,%2024%20Dec%202023%2017:05:26%20GMT	http://members.societe-jersiaise.org/geraint/jerriais.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais.html	(from )
18:35:04	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Nov%202024%2018:35:04%20GMT	http://members.societe-jersiaise.org/geraint/*	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/_.1.delayed	(from )
18:35:05	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Nov%202024%2018:35:05%20GMT	http://members.societe-jersiaise.org/robots.txt		(from )
18:35:06	318/318	---M--	200	added ('OK')	image/x-icon	date:Fri,%2025%20May%202012%2017:50:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/favicon.ico	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/favicon.ico	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
18:35:09	538059/538059	---M--	200	added ('OK')	text/html	date:Thu,%2028%20Nov%202024%2016:25:22%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/jerrinav.html	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
18:35:11	73815/73815	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Aug%202024%2010:06:12%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerriais.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/jerriais.html	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
18:35:11	24940/24940	---M--	200	added ('OK')	image/jpeg	date:Mon,%2010%20Jan%202022%2019:55:13%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/banniethe.jpg	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/banniethe.jpg	(from http://members.societe-jersiaise.org/geraint/jerriais.html)
18:35:11	791/791	---M--	200	added ('OK')	text/css	date:Sat,%2012%20May%202012%2015:58:08%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/menu.css	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/menu.css	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:13	3889/3889	---M--	200	added ('OK')	application/javascript	date:Sun,%2008%20Apr%202012%2018:48:41%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/onlyone.js	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/onlyone.js	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:13	3759/3759	---M--	200	added ('OK')	image/gif	date:Fri,%2025%20May%202012%2017:50:49%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/pjbanniethe.gif	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/pjbanniethe.gif	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:14	52297/52297	---M--	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202024%2015:51:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/whatsnew.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/whatsnew.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:15	2462/2462	---M--	200	added ('OK')	text/html	date:Mon,%2008%20Apr%202024%2006:39:07%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/index.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:15	3354/3354	---M--	200	added ('OK')	text/html	date:Sat,%2012%20May%202012%2015:33:43%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/entouor_pj.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/entouor_pj.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:16	20676/20676	---M--	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202016%2017:35:42%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/prononciation.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/prononciation.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:21	585778/585778	---M--	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2018:37:21%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/whatsnew2.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/whatsnew2.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:23	165664/165664	---M--	200	added ('OK')	text/html	date:Sat,%2020%20Feb%202016%2014:13:29%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/catalog.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/catalog.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:23	8700/8700	---M--	200	added ('OK')	text/html	date:Wed,%2015%20May%202024%2017:18:35%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jerriais2.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/jerriais2.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:23	7351/7351	---M--	200	added ('OK')	text/html	date:Thu,%2002%20May%202013%2010:20:03%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/auteurs.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/auteurs.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:25	47478/47478	---M--	200	added ('OK')	text/html	date:Fri,%2029%20Nov%202024%2015:51:28%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/random.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/random.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:25	4208/4208	---M--	200	added ('OK')	text/html	date:Tue,%2018%20Mar%202014%2019:07:13%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/pathjour.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/pathjour.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:25	17779/17779	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Mar%202023%2008:04:04%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/haspath.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/haspath.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:28	479081/479081	---M--	200	added ('OK')	text/html	date:Sat,%2024%20Aug%202024%2010:06:13%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/hastexte.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/hastexte.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:29	9011/9011	---M--	200	added ('OK')	text/html	date:Mon,%2007%20Oct%202024%2011:07:27%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/radio.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/radio.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:31	189222/189222	---M--	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202024%2011:24:21%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/hasportrait.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/hasportrait.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
18:35:31	8592/8592	---M--	200	added ('OK')	text/html	date:Sun,%2003%20Dec%202023%2012:01:53%20GMT	http://members.societe-jersiaise.org/geraint/jerriais/jep.html	/home/steve/src/jerriais/lespages/members.societe-jersiaise.org/geraint/jerriais/jep.html	(from http://members.societe-jersiaise.org/geraint/jerriais/jerrinav.html)
